Job_Title,Location,Salary,Monthly_Salary,Locality,State
Robotics / STEM Trainer,"Indore, Madhya Pradesh","₹1,80,000 - ₹3,60,000 a year",270000.0,Remote,Madhya Pradesh
HTML Developers - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,19250.0,Banaswadi,Karnataka
Java Developers - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,19250.0,Banaswadi,Karnataka
"Teachers - Pre-Primary and Primary (English, Mathematics, EVS and Computers)","Pulivendla, Andhra Pradesh","₹20,000 - ₹30,000 a month",25000.0,Remote,Andhra Pradesh
College Student,Remote,"₹15,000 - ₹20,000 a month",17500.0,Remote,Remote
Software Testers - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,19250.0,Banaswadi,Karnataka
Web Developer - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,19250.0,Banaswadi,Karnataka
Computer Operator and Data Entry - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,19250.0,Banaswadi,Karnataka
Back Office Assistant,Remote,"₹14,678 - ₹22,689 a month",18683.5,Remote,Remote
Customer Service Officer,Remote,"From ₹12,800 a month",19250.0,Remote,Remote
Recruiter,Remote,"₹12,000 - ₹25,000 a month",18500.0,Remote,Remote
Sales Advisor_ Work From Home,Remote,"₹10,000 - ₹25,000 a month",17500.0,Remote,Remote
Junior Python Developer,"Kochi, Kerala","₹35,000 - ₹55,000 a month",45000.0,Remote,Kerala
Customer Support - Trainee,Remote,"₹3,00,000 - ₹6,00,000 a year",450000.0,Remote,Remote
Fresher KYC Verification Executive,"Indraprastha H.O, Delhi, Delhi","₹17,000 - ₹23,000 a month",20000.0,Indraprastha H.O,Delhi
Trainee,"Powai, Mumbai, Maharashtra","₹4,00,000 - ₹6,00,000 a year",500000.0,Powai,Maharashtra
Chat Support Representative- Mohali,"Mohali, Punjab","₹30,000 - ₹35,000 a month",32500.0,Remote,Punjab
"Fresher (ITI , Diploma or Any Degree)","Erode, Tamil Nadu","₹12,000 - ₹15,000 a month",13500.0,Remote,Tamil Nadu
Python Intern Trainee,"Kulasegaram, Tamil Nadu","₹8,500 - ₹22,000 a month",15250.0,Remote,Tamil Nadu
Software Engineer Trainee - Freshers,"Tirunelveli, Tamil Nadu",Not specified,19250.0,Remote,Tamil Nadu
Programmer Trainee,Remote,"From ₹2,71,362.01 a year",19250.0,Remote,Remote
Quality Analyst,Remote,"₹2,80,000 - ₹3,50,000 a year",315000.0,Remote,Remote
Data Entry Operator,"Hassan, Karnataka",Not specified,19250.0,Remote,Karnataka
Mobile App Developer - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,19250.0,Banaswadi,Karnataka
Mega Walk-in drive Customer Service Representative- Fresher's,"Noida, Uttar Pradesh","₹13,000 - ₹17,000 a month",15000.0,Remote,Uttar Pradesh
Python Developer Trainee,Kerala,Not specified,19250.0,Kerala,Kerala
Junior Data Scientist,"Bengaluru, Karnataka","₹2,50,000 - ₹5,00,000 a year",375000.0,Remote,Karnataka
Digital Marketing - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,19250.0,Banaswadi,Karnataka
Receptionist,"Thrissur, Kerala",Not specified,19250.0,Remote,Kerala
Web Developer - Fresher,"Madurai, Tamil Nadu",Not specified,19250.0,Remote,Tamil Nadu
Document verification (office Fresher Applied Now),"Delhi Cantt, Delhi, Delhi","₹10,914.81 - ₹21,867.53 a month",16391.17,Delhi Cantt,Delhi
Graduate Trainee,Remote,Not specified,19250.0,Remote,Remote
Internship JOB Opening for freshers,Remote,"₹8,000 - ₹15,000 a month",11500.0,Remote,Remote
Consultant Doctor,"Tirupati, Andhra Pradesh","₹20,000 - ₹25,000 a month",22500.0,Remote,Andhra Pradesh
Software Trainees,"Bengaluru, Karnataka",Not specified,19250.0,Remote,Karnataka
Back Office Assistant,"Pimpri-Chinchwad, Maharashtra","₹28,000 - ₹34,000 a month",31000.0,Remote,Maharashtra
Digital Marketing Intern,Remote,"₹10,000 - ₹15,000 a month",12500.0,Remote,Remote
Fresher - Malayalam,"Coimbatore, Tamil Nadu","₹8,086.00 - ₹26,786.74 a month",17436.37,Remote,Tamil Nadu
Call Quality Analyst,"Bengaluru, Karnataka","₹4,00,000 - ₹5,00,000 a year",450000.0,Remote,Karnataka
Marketing Intern,"Anantapur, Andhra Pradesh",Not specified,19250.0,Remote,Andhra Pradesh
Junior Engineers(Freshers),"Kochi, Kerala",Not specified,19250.0,Remote,Kerala
Social Media Manager,Remote,"From ₹32,000 a month",19250.0,Remote,Remote
HR Assistant,"Madurai, Tamil Nadu","₹12,000 - ₹15,000 a month",13500.0,Remote,Tamil Nadu
Digital Marketing Intern,Remote,"₹2,000 - ₹5,000 a day",3500.0,Remote,Remote
Fresh Graduates (Male),"Singanallur, Tamil Nadu",Not specified,19250.0,Remote,Tamil Nadu
Manager,"Idukki, Kerala",Not specified,19250.0,Remote,Kerala
Freshers - Trainee,"Hyderabad, Telangana",Not specified,19250.0,Remote,Telangana
Hiring Freshers for Bangalore Location ( Budget upto 45k inhand),"Bengaluru, Karnataka","₹30,000 - ₹50,000 a month",40000.0,Remote,Karnataka
Phone Banking Officer,"Jaipur, Rajasthan","₹2,00,000 - ₹3,50,000 a year",275000.0,Remote,Rajasthan
"Trainee Engineer, Fresher","Indore, Madhya Pradesh",Not specified,19250.0,Remote,Madhya Pradesh
Content Creator,Remote,"₹30,000 - ₹60,000 a month",45000.0,Remote,Remote
Social Media Manager,Remote,"₹11,347.87 - ₹43,137.86 a month",27242.865,Remote,Remote
Amazon Advertising Executive,"Thrissur, Kerala","₹14,000 - ₹17,500 a month",15750.0,Remote,Kerala
Software Engineer,"Pune, Maharashtra",Not specified,19250.0,Remote,Maharashtra
Administration/Office Manager,"Thrissur, Kerala","₹15,000 - ₹25,000 a month",20000.0,Remote,Kerala
Draftsman,India,₹8 - ₹10 an hour,19250.0,India,India
Documents verification,"Vadapalani, Chennai, Tamil Nadu","₹15,000 - ₹30,000 a month",22500.0,Vadapalani,Tamil Nadu
Software Developer Fresher,India,Not specified,19250.0,India,India
E-Commerce works agency with Amazon PPC Ad management,Remote,"₹12,000.00 - ₹33,807.10 a month",22903.55,Remote,Remote
Delivery Partner/Delivery Executive,"Manipala, Karnataka","₹20,000 - ₹45,000 a month",32500.0,Remote,Karnataka
Store & Purchase Executive,"Durgapur, West Bengal","₹20,000 - ₹40,000 a month",30000.0,Remote,West Bengal
Account Executive,"Muvattupuzha, Kerala","₹12,000 - ₹60,000 a month",36000.0,Remote,Kerala
Software Trainee,"Pollachi H.O, Tamil Nadu",Not specified,19250.0,Remote,Tamil Nadu
Need female graduates to train school student in Bandel,"Hugli, West Bengal","₹15,000 - ₹18,000 a month",16500.0,Remote,West Bengal
Billing Executive,"Idukki, Kerala","₹15,000 - ₹21,000 a month",18000.0,Remote,Kerala
Hotel Management Trainee,"Kottayam, Kerala","₹20,000 - ₹30,000 a month",25000.0,Remote,Kerala
FACULTY WANTED - COMMERCE,"Pollachi, Tamil Nadu","₹18,000 - ₹45,000 a month",31500.0,Remote,Tamil Nadu
Project Manager,Remote,"From ₹25,000 a month",19250.0,Remote,Remote
Editor,"Bengaluru, Karnataka","Up to ₹4,00,000 a year",19250.0,Remote,Karnataka
Front Office,"Kochi, Kerala","₹20,000 - ₹25,000 a month",22500.0,Remote,Kerala
RTO Executive,"Erode, Tamil Nadu","₹16,000 - ₹20,000 a month",18000.0,Remote,Tamil Nadu
HR Co-ordinator,"Thrissur, Kerala","₹12,000 - ₹15,000 a month",13500.0,Remote,Kerala
Content Writers - Part Time,"Hubli, Karnataka",Not specified,19250.0,Remote,Karnataka
Video Editor,Remote,"₹5,000 - ₹7,000 a month",6000.0,Remote,Remote
Delivery Partner/Delivery Executive,"Kochi, Kerala","₹15,000 - ₹45,000 a month",30000.0,Remote,Kerala
Fresher Software engineer at Technopark,"Thiruvananthapuram, Kerala","₹9,000 - ₹12,000 a month",10500.0,Remote,Kerala
AWS intern,Remote,Not specified,19250.0,Remote,Remote
Video Editing Intern,Remote,"₹4,000 - ₹5,000 a month",4500.0,Remote,Remote
Google Ads Executive(fresher/experience),"Ambli, Ahmedabad, Gujarat","Up to ₹35,000 a month",19250.0,Ambli,Gujarat
JET - Fresher Diploma Engineer(Mechanical/Fabrication/Production),"Surat, Gujarat","₹2,00,000 - ₹3,00,000 a year",250000.0,Remote,Gujarat
Executive Diploma Trainee,"Bengaluru, Karnataka",Not specified,19250.0,Remote,Karnataka
tellecaller,"Shimla, Himachal Pradesh","₹18,569 - ₹27,467 a month",23018.0,Remote,Himachal Pradesh
Supervisors/Incharges,"Pudukkottai, Tamil Nadu",Not specified,19250.0,Remote,Tamil Nadu
Junior Business Analyst,"Udumalaippettai, Tamil Nadu","Up to ₹10,000 a month",19250.0,Remote,Tamil Nadu
Computer Faculty,Remote,"From ₹10,000 a month",19250.0,Remote,Remote
Process Associate,"Bhubaneswar, Orissa","₹1,00,000 - ₹2,20,000 a year",160000.0,Remote,Orissa
Fresher IT Software Training in Infopark,"Kochi, Kerala","₹9,000 - ₹15,000 a month",12000.0,Remote,Kerala
Hotel Management Trainee,"Thiruvananthapuram, Kerala","₹24,000 - ₹32,000 a month",28000.0,Remote,Kerala
